count-ll	count-ll-pred-err	p2p-ll	total-ll	link-lambda-avg	link-lambda-stddev	link-lambda-min	link-lambda-max	plan-lambda-avg	plan-lambda-stddev	plan-lambda-min	plan-lambda-max	replan-count
-490480.8001685662	197874.40699136586	--	-490480.8001685662	-0.008811589692777136	0.13400796463957212	-10.17799780981604	6.254088960012364	-3.231442989708597	4.399336816583835	-15.0	14.240296742470253	66903
-465641.657394006	196211.10860828386	--	-465641.657394006	-0.008712173971575836	0.13121366534441276	-10.246504204010304	6.409840209964255	-3.1782453365980765	4.325387236725264	-15.0	14.275582101746986	66852
-502585.0594297166	195339.87176804792	--	-502585.0594297166	-0.008445191582583457	0.130946635552963	-10.253808968299104	6.801086545570038	-3.1840327150987693	4.332531313542789	-15.0	14.294676659052046	66527
-562909.0268017834	228078.1459965933	--	-562909.0268017834	-0.008610436531294176	0.13625730590013616	-10.223333954745243	7.242923077496326	-3.2213063609302792	4.403582770653915	-15.0	14.263884522382618	66822
-470462.6151378181	193502.30709021437	--	-470462.6151378181	-0.008626861862560104	0.13204796168408606	-10.148614488221943	7.266327070607302	-3.341725169536851	4.403410136092872	-15.0	11.825353624319066	66815
-530870.7700331932	206583.3688778067	--	-530870.7700331932	-0.0086101257978871	0.13128221648585606	-10.10118715146159	7.074906631276857	-3.212996871977491	4.346545677045205	-15.0	11.306961554342092	66782
-526289.0760934313	202107.12373999183	--	-526289.0760934313	-0.008539042265837026	0.13217880044566147	-9.943170602955195	6.818896303990323	-3.2473404604392804	4.372090235800909	-15.0	13.594766838796842	66670
-524750.6483195387	238602.64811797242	--	-524750.6483195387	-0.008490178201866122	0.13386664497317532	-9.993749412146615	6.863075809645728	-3.2302008304504244	4.384441973489415	-15.0	14.356159679822186	66872
-466368.04212672764	188716.86750827686	--	-466368.04212672764	-0.008800258389677027	0.13199666135922464	-9.970484525980076	6.805679278889589	-3.29355565057644	4.4457095260441655	-15.0	10.411273982754503	66781
-495094.5599745095	192143.43474345858	--	-495094.5599745095	-0.008623034902141648	0.13089724329441588	-9.945203756136205	7.428052917346527	-3.21376193818787	4.295591225607816	-15.0	11.80462004930875	66739
-485909.240507597	205604.2034295871	--	-485909.240507597	-0.00909754032760772	0.1348520794352032	-9.944240534794538	7.06385181674225	-3.333380705329882	4.389713582727369	-15.0	11.08507666579259	66833
-525959.9311140202	211850.4793351964	--	-525959.9311140202	-0.008511618939688688	0.13047897377608522	-9.930137958573264	6.85783989463269	-3.1530296651447887	4.289565389604591	-15.0	14.943836708948389	66670
